model,model_name,model_comment
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,eva02_large_patch14_448,EVA-g CLIP model (only difference from non-CLIP is the pooling)
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,eva02_large_patch14_448,EVA-g CLIP model (only difference from non-CLIP is the pooling)
eva_giant_patch14_560.m30m_ft_in22k_in1k,eva_giant_patch14_560,EVA-g model https://arxiv.org/abs/2211.07636
eva02_large_patch14_448.mim_in22k_ft_in1k,eva02_large_patch14_448,EVA-g CLIP model (only difference from non-CLIP is the pooling)
eva02_large_patch14_448.mim_m38m_ft_in1k,eva02_large_patch14_448,EVA-g CLIP model (only difference from non-CLIP is the pooling)
eva_giant_patch14_336.m30m_ft_in22k_in1k,eva_giant_patch14_336,EVA-g model https://arxiv.org/abs/2211.07636
eva_giant_patch14_336.clip_ft_in1k,eva_giant_patch14_336,EVA-g model https://arxiv.org/abs/2211.07636
eva_large_patch14_336.in22k_ft_in22k_in1k,eva_large_patch14_336,EVA-large model https://arxiv.org/abs/2211.07636 via MAE MIM pretrain
eva_giant_patch14_224.clip_ft_in1k,eva_giant_patch14_224,EVA-g model https://arxiv.org/abs/2211.07636
convnextv2_huge.fcmae_ft_in22k_in1k_512,convnextv2_huge,
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,eva02_base_patch14_448,EVA-g CLIP model (only difference from non-CLIP is the pooling)
convnextv2_huge.fcmae_ft_in22k_in1k_384,convnextv2_huge,
eva_large_patch14_336.in22k_ft_in1k,eva_large_patch14_336,EVA-large model https://arxiv.org/abs/2211.07636 via MAE MIM pretrain
convnext_xxlarge.clip_laion2b_soup_ft_in1k,convnext_xxlarge,
beit_large_patch16_512.in22k_ft_in22k_in1k,beit_large_patch16_512,
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,vit_huge_patch14_clip_336,ViT-Huge model (ViT-H/14) CLIP image tower @ 336x336
eva_large_patch14_196.in22k_ft_in22k_in1k,eva_large_patch14_196,EVA-large model https://arxiv.org/abs/2211.07636 /via MAE MIM pretrain
maxvit_xlarge_tf_512.in21k_ft_in1k,maxvit_xlarge_tf_512,
beit_large_patch16_384.in22k_ft_in22k_in1k,beit_large_patch16_384,
beitv2_large_patch16_224.in1k_ft_in22k_in1k,beitv2_large_patch16_224,
tf_efficientnet_l2.ns_jft_in1k,tf_efficientnet_l2,EfficientNet-L2 NoisyStudent. Tensorflow compatible variant
maxvit_xlarge_tf_384.in21k_ft_in1k,maxvit_xlarge_tf_384,
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,convnext_large_mlp,
vit_large_patch14_clip_336.openai_ft_in12k_in1k,vit_large_patch14_clip_336,ViT-Large model (ViT-L/14) CLIP image tower @ 336x336
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,vit_huge_patch14_clip_224,ViT-Huge model (ViT-H/14) CLIP image tower.
eva02_base_patch14_448.mim_in22k_ft_in1k,eva02_base_patch14_448,EVA-g CLIP model (only difference from non-CLIP is the pooling)
tf_efficientnet_l2.ns_jft_in1k_475,tf_efficientnet_l2,EfficientNet-L2 NoisyStudent. Tensorflow compatible variant
regnety_1280.swag_ft_in1k,regnety_1280,RegNetY-128GF
maxvit_large_tf_512.in21k_ft_in1k,maxvit_large_tf_512,
maxvit_base_tf_512.in21k_ft_in1k,maxvit_base_tf_512,
convnextv2_large.fcmae_ft_in22k_in1k_384,convnextv2_large,
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,vit_large_patch14_clip_336,ViT-Large model (ViT-L/14) CLIP image tower @ 336x336
vit_large_patch14_clip_224.openai_ft_in12k_in1k,vit_large_patch14_clip_224,ViT-Large model (ViT-L/14) CLIP image tower
caformer_b36.sail_in22k_ft_in1k_384,caformer_b36,
maxvit_large_tf_384.in21k_ft_in1k,maxvit_large_tf_384,
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,convnext_large_mlp,
eva_large_patch14_196.in22k_ft_in1k,eva_large_patch14_196,EVA-large model https://arxiv.org/abs/2211.07636 /via MAE MIM pretrain
maxvit_base_tf_384.in21k_ft_in1k,maxvit_base_tf_384,
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,vit_large_patch14_clip_224,ViT-Large model (ViT-L/14) CLIP image tower
vit_large_patch14_clip_336.laion2b_ft_in1k,vit_large_patch14_clip_336,ViT-Large model (ViT-L/14) CLIP image tower @ 336x336
vit_large_patch14_clip_224.openai_ft_in1k,vit_large_patch14_clip_224,ViT-Large model (ViT-L/14) CLIP image tower
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,convnext_large_mlp,
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,maxvit_rmlp_base_rw_384,
